"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","","1","1","0","2","0"
"","Selects category","selects all categories from hamburger menu in header","0","0","0","1","0"
"","Check photo","is photo broken","0","0","1","1","0"
"","Test product recommendations","title link","0","0","0","1","0"
"","Test product recommendations","scroll","0","0","0","1","0"
"","Title","tab title, links, rating","0","0","1","0","0"
"","Header navigation buttons","Checks links in buttons on right side of the header","0","0","0","1","0"
"","Test Login","Login","0","0","0","1","0"
"","Tests login / profile button","Login and find profile button, then logout","0","0","0","1","0"
"","Favourites button","auth check","0","1","0","0","0"
"","Favourites button","unauth check","0","0","1","0","0"
"","Tests search","different payloads for search and suggestions","0","0","0","1","0"
